time,client,sat,distance,time_s
2024-07-05 13:04:25.141,sensor46410',1-685,3244.0,68.41
2024-07-05 13:04:25.141,sensor46451',1-685,7481.0,68.41
2024-07-05 13:04:25.142,sensor46412',1-685,17433.0,68.411
2024-07-05 13:04:25.142,sensor21417',1-685,15423.0,68.411
2024-07-05 13:04:25.142,sensor46416',1-685,4461.0,68.411
2024-07-05 13:04:25.142,sensor46414',1-685,2076.0,68.411
2024-07-05 13:04:25.218,sensor46405',1-685,9137.0,68.487
2024-07-05 13:04:25.219,sensor46d04',1-685,6236.0,68.488
2024-07-05 13:04:25.219,sensor46490',1-685,17393.0,68.488
2024-07-05 13:04:27.406,sensor21414',1-685,9064.0,70.675
2024-07-05 13:04:27.407,sensor46411',1-685,9813.0,70.676
2024-07-05 13:04:27.407,sensor46402',1-685,4010.0,70.676
2024-07-05 13:04:27.407,sensor46415',1-685,2727.0,70.676
2024-07-05 13:04:27.408,sensor21416',1-685,13033.0,70.677
2024-07-05 13:04:27.408,sensor21d13',1-685,33447.0,70.677
2024-07-05 13:04:27.408,sensor46413',1-685,7116.0,70.677
2024-07-05 13:04:27.409,sensor46409',1-685,2743.0,70.678
2024-07-05 13:04:27.409,sensor46419',1-685,5696.0,70.678
2024-07-05 13:04:27.410,sensor46401',1-685,6755.0,70.679
2024-07-05 13:04:27.410,sensor21418',1-685,23174.0,70.679
2024-07-05 13:04:27.410,sensor46d16',1-685,4466.0,70.679
2024-07-05 13:04:27.411,sensor21419',1-685,15667.0,70.68
2024-07-05 13:04:27.411,sensor46407',1-685,8800.0,70.68
2024-07-05 13:04:27.412,sensor46408',1-685,5793.0,70.681
2024-07-05 13:04:27.412,sensor46d02',1-685,4019.0,70.681
2024-07-05 13:04:27.412,sensor46404',1-685,6233.0,70.681
2024-07-05 13:04:27.413,sensor21413',1-685,33443.0,70.682
2024-07-05 13:04:27.413,sensor46452',1-685,7493.0,70.682
2024-07-05 13:04:27.413,sensor46403',1-685,2321.0,70.682
2024-07-05 13:04:27.414,sensor21415',1-685,10577.0,70.683
2024-07-05 13:04:27.414,sensor46410',1-685,3244.0,70.683
2024-07-05 13:04:27.414,sensor46451',1-685,7481.0,70.683
2024-07-05 13:04:27.414,sensor46412',1-685,17433.0,70.683
2024-07-05 13:04:27.415,sensor21417',1-685,15928.0,70.684
2024-07-05 13:04:27.415,sensor46416',1-685,4461.0,70.684
2024-07-05 13:04:27.416,sensor46414',1-685,2076.0,70.685
2024-07-05 13:04:27.501,sensor46405',1-685,9137.0,70.77
2024-07-05 13:04:27.502,sensor46d04',1-685,6236.0,70.771
2024-07-05 13:04:27.502,sensor46490',1-685,17393.0,70.771
2024-07-05 13:04:29.680,sensor21414',1-685,9064.0,72.949
2024-07-05 13:04:29.681,sensor46411',1-685,9813.0,72.95
2024-07-05 13:04:29.682,sensor46402',1-685,4515.0,72.951
2024-07-05 13:04:29.682,sensor46415',1-685,2727.0,72.951
2024-07-05 13:04:29.682,sensor21416',1-685,13033.0,72.951
2024-07-05 13:04:29.683,sensor21d13',1-685,33447.0,72.952
2024-07-05 13:04:29.683,sensor46413',1-685,7116.0,72.952
2024-07-05 13:04:29.684,sensor46409',1-685,2743.0,72.953
2024-07-05 13:04:29.684,sensor46419',1-685,5696.0,72.953
2024-07-05 13:04:29.684,sensor46401',1-685,6755.0,72.953
2024-07-05 13:04:29.685,sensor21418',1-685,23174.0,72.954
2024-07-05 13:04:29.685,sensor46d16',1-685,4466.0,72.954
2024-07-05 13:04:29.686,sensor21419',1-685,15667.0,72.955
2024-07-05 13:04:29.686,sensor46407',1-685,8800.0,72.955
2024-07-05 13:04:29.686,sensor46408',1-685,5793.0,72.955
2024-07-05 13:04:29.687,sensor46d02',1-685,4019.0,72.956
2024-07-05 13:04:29.687,sensor46404',1-685,6233.0,72.956
2024-07-05 13:04:29.688,sensor21413',1-685,33443.0,72.957
2024-07-05 13:04:29.688,sensor46452',1-685,7493.0,72.957
2024-07-05 13:04:29.688,sensor46403',1-685,2831.0,72.957
2024-07-05 13:04:29.689,sensor21415',1-685,10577.0,72.958
2024-07-05 13:04:29.689,sensor46410',1-685,3244.0,72.958
2024-07-05 13:04:29.689,sensor46451',1-685,7481.0,72.958
2024-07-05 13:04:29.690,sensor46412',1-685,17433.0,72.959
2024-07-05 13:04:29.690,sensor21417',1-685,15928.0,72.959
2024-07-05 13:04:29.690,sensor46416',1-685,4461.0,72.959
2024-07-05 13:04:29.691,sensor46414',1-685,2076.0,72.96
2024-07-05 13:04:29.777,sensor46405',1-685,9137.0,73.046
2024-07-05 13:04:29.778,sensor46d04',1-685,6236.0,73.047
2024-07-05 13:04:29.778,sensor46490',1-685,17393.0,73.047
2024-07-05 13:04:31.980,sensor21414',1-685,9064.0,75.249
2024-07-05 13:04:31.981,sensor46411',1-685,9813.0,75.25
2024-07-05 13:04:31.982,sensor46402',1-685,4515.0,75.251
2024-07-05 13:04:31.982,sensor46415',1-685,2727.0,75.251
2024-07-05 13:04:31.982,sensor21416',1-685,13033.0,75.251
2024-07-05 13:04:31.983,sensor21d13',1-685,33447.0,75.252
2024-07-05 13:04:31.983,sensor46413',1-685,7116.0,75.252
2024-07-05 13:04:31.984,sensor46409',1-685,2743.0,75.253
