time,log_type,sat,time_s
2024-07-05 13:07:07.722,switch_sensor46404,1-706,230.991
2024-07-05 13:07:07.723,switch_sensor46452,1-706,230.992
2024-07-05 13:07:07.813,switch_sensor21413,1-706,231.082
2024-07-05 13:07:07.813,switch_sensor46403,1-706,231.082
2024-07-05 13:07:07.814,switch_sensor21415,1-706,231.083
2024-07-05 13:07:07.814,switch_sensor46410,1-706,231.083
2024-07-05 13:07:07.816,switch_sensor46451,1-706,231.085
2024-07-05 13:07:07.817,switch_sensor46412,1-706,231.086
2024-07-05 13:07:07.819,switch_sensor21417,1-706,231.088
2024-07-05 13:07:07.820,switch_sensor46416,1-706,231.089
2024-07-05 13:07:07.821,switch_sensor46414,1-706,231.09
2024-07-05 13:07:07.822,switch_sensor46405,1-706,231.091
2024-07-05 13:07:07.823,switch_sensor46d04,1-706,231.092
2024-07-05 13:07:07.824,undeploy_start,1-685,231.093
2024-07-05 13:07:07.824,switch_sensor46490,1-706,231.093
2024-07-05 13:07:07.889,switch_sensor46413,1-706,231.158
2024-07-05 13:07:09.293,undeploy_complete,1-685,232.562
2024-07-05 13:10:41.225,deploy_start,1-705,444.494
2024-07-05 13:10:59.194,deploy_complete,1-705,462.463
2024-07-05 13:10:59.196,switch_sensor21414,1-705,462.465
2024-07-05 13:10:59.197,switch_sensor46411,1-705,462.466
2024-07-05 13:10:59.198,switch_sensor46402,1-705,462.467
2024-07-05 13:10:59.199,switch_sensor46415,1-705,462.468
2024-07-05 13:10:59.200,switch_sensor21416,1-705,462.469
2024-07-05 13:10:59.201,switch_sensor21d13,1-705,462.47
2024-07-05 13:10:59.203,switch_sensor46409,1-705,462.472
2024-07-05 13:10:59.204,switch_sensor46419,1-705,462.473
2024-07-05 13:10:59.205,switch_sensor46401,1-705,462.474
2024-07-05 13:10:59.206,switch_sensor21418,1-705,462.475
2024-07-05 13:10:59.207,switch_sensor46d16,1-705,462.476
2024-07-05 13:10:59.208,switch_sensor21419,1-705,462.477
2024-07-05 13:10:59.210,switch_sensor46407,1-705,462.479
2024-07-05 13:10:59.211,switch_sensor46408,1-705,462.48
2024-07-05 13:10:59.212,switch_sensor46d02,1-705,462.481
2024-07-05 13:10:59.213,switch_sensor46404,1-705,462.482
2024-07-05 13:10:59.215,switch_sensor21413,1-705,462.484
2024-07-05 13:10:59.215,switch_sensor46452,1-705,462.484
2024-07-05 13:10:59.292,switch_sensor46403,1-705,462.561
2024-07-05 13:10:59.294,switch_sensor21415,1-705,462.563
2024-07-05 13:10:59.294,switch_sensor46410,1-705,462.563
2024-07-05 13:10:59.295,switch_sensor46451,1-705,462.564
2024-07-05 13:10:59.296,switch_sensor46412,1-705,462.565
2024-07-05 13:10:59.298,switch_sensor21417,1-705,462.567
2024-07-05 13:10:59.299,switch_sensor46416,1-705,462.568
2024-07-05 13:10:59.300,switch_sensor46414,1-705,462.569
2024-07-05 13:10:59.300,switch_sensor46405,1-705,462.569
2024-07-05 13:10:59.302,switch_sensor46d04,1-705,462.571
2024-07-05 13:10:59.302,undeploy_start,1-706,462.571
2024-07-05 13:10:59.303,switch_sensor46490,1-705,462.572
2024-07-05 13:10:59.363,switch_sensor46413,1-705,462.632
2024-07-05 13:11:00.785,undeploy_complete,1-706,464.054
2024-07-05 13:15:01.107,deploy_start,1-704,704.376
2024-07-05 13:15:46.075,deploy_complete,1-704,749.344
2024-07-05 13:15:46.077,switch_sensor21414,1-704,749.346
2024-07-05 13:15:46.078,switch_sensor46411,1-704,749.347
2024-07-05 13:15:46.079,switch_sensor46402,1-704,749.348
2024-07-05 13:15:46.081,switch_sensor21416,1-704,749.35
2024-07-05 13:15:46.080,switch_sensor46415,1-704,749.349
2024-07-05 13:15:46.082,switch_sensor21d13,1-704,749.351
2024-07-05 13:15:46.083,switch_sensor46413,1-704,749.352
2024-07-05 13:15:46.084,switch_sensor46409,1-704,749.353
2024-07-05 13:15:46.086,switch_sensor46419,1-704,749.355
2024-07-05 13:15:46.087,switch_sensor46401,1-704,749.356
2024-07-05 13:15:46.088,switch_sensor46d16,1-704,749.357
2024-07-05 13:15:46.089,switch_sensor21418,1-704,749.358
2024-07-05 13:15:46.090,switch_sensor21419,1-704,749.359
2024-07-05 13:15:46.091,switch_sensor46407,1-704,749.36
2024-07-05 13:15:46.094,switch_sensor46d02,1-704,749.363
2024-07-05 13:15:46.092,switch_sensor46408,1-704,749.361
2024-07-05 13:15:46.095,switch_sensor46404,1-704,749.364
2024-07-05 13:15:46.096,switch_sensor21413,1-704,749.365
2024-07-05 13:15:46.097,switch_sensor46452,1-704,749.366
2024-07-05 13:15:46.185,switch_sensor46403,1-704,749.454
2024-07-05 13:15:46.186,switch_sensor21415,1-704,749.455
2024-07-05 13:15:46.187,switch_sensor46410,1-704,749.456
2024-07-05 13:15:46.188,switch_sensor46451,1-704,749.457
2024-07-05 13:15:46.189,switch_sensor46412,1-704,749.458
2024-07-05 13:15:46.191,switch_sensor46416,1-704,749.46
2024-07-05 13:15:46.190,switch_sensor21417,1-704,749.459
2024-07-05 13:15:46.192,switch_sensor46414,1-704,749.461
2024-07-05 13:15:46.194,switch_sensor46405,1-704,749.463
2024-07-05 13:15:46.196,undeploy_start,1-705,749.465
2024-07-05 13:15:46.195,switch_sensor46d04,1-704,749.464
2024-07-05 13:15:46.197,switch_sensor46490,1-704,749.466
2024-07-05 13:15:47.671,undeploy_complete,1-705,750.94
2024-07-05 13:19:20.567,deploy_start,1-725,963.836
2024-07-05 13:20:01.873,deploy_complete,1-725,1005.142
2024-07-05 13:20:01.875,switch_sensor46411,1-725,1005.144
2024-07-05 13:20:01.874,switch_sensor21414,1-725,1005.143
2024-07-05 13:20:01.876,switch_sensor46402,1-725,1005.145
2024-07-05 13:20:01.878,switch_sensor46415,1-725,1005.147
2024-07-05 13:20:01.880,switch_sensor21d13,1-725,1005.149
2024-07-05 13:20:01.879,switch_sensor21416,1-725,1005.148
2024-07-05 13:20:01.881,switch_sensor46413,1-725,1005.15
2024-07-05 13:20:01.882,switch_sensor46409,1-725,1005.151
2024-07-05 13:20:01.884,switch_sensor46419,1-725,1005.153
2024-07-05 13:20:01.885,switch_sensor46401,1-725,1005.154
2024-07-05 13:20:01.886,switch_sensor21418,1-725,1005.155
2024-07-05 13:20:01.887,switch_sensor46d16,1-725,1005.156
2024-07-05 13:20:01.888,switch_sensor21419,1-725,1005.157
2024-07-05 13:20:01.891,switch_sensor46408,1-725,1005.16
2024-07-05 13:20:01.890,switch_sensor46407,1-725,1005.159
2024-07-05 13:20:01.892,switch_sensor46d02,1-725,1005.161
2024-07-05 13:20:01.893,switch_sensor46404,1-725,1005.162
2024-07-05 13:20:01.895,switch_sensor21413,1-725,1005.164
2024-07-05 13:20:01.896,switch_sensor46452,1-725,1005.165
2024-07-05 13:20:01.982,switch_sensor46403,1-725,1005.251
2024-07-05 13:20:01.983,switch_sensor21415,1-725,1005.252
2024-07-05 13:20:01.984,switch_sensor46410,1-725,1005.253
2024-07-05 13:20:01.985,switch_sensor46451,1-725,1005.254
2024-07-05 13:20:01.986,switch_sensor46412,1-725,1005.255
2024-07-05 13:20:01.989,switch_sensor46416,1-725,1005.258
2024-07-05 13:20:01.990,switch_sensor46414,1-725,1005.259
2024-07-05 13:20:01.987,switch_sensor21417,1-725,1005.256
2024-07-05 13:20:01.991,switch_sensor46405,1-725,1005.26
2024-07-05 13:20:01.992,switch_sensor46d04,1-725,1005.261
2024-07-05 13:20:01.993,undeploy_start,1-704,1005.262
2024-07-05 13:20:01.994,switch_sensor46490,1-725,1005.263
2024-07-05 13:20:05.048,undeploy_complete,1-704,1008.317
2024-07-05 13:21:32.523,deploy_start,1-572,1095.792
2024-07-05 13:22:07.656,deploy_complete,1-572,1130.925
2024-07-05 13:22:07.658,switch_sensor21414,1-572,1130.927
2024-07-05 13:22:07.660,switch_sensor46411,1-572,1130.929
2024-07-05 13:22:07.661,switch_sensor46415,1-572,1130.93
2024-07-05 13:22:07.663,switch_sensor21416,1-572,1130.932
2024-07-05 13:22:07.664,switch_sensor21d13,1-572,1130.933
2024-07-05 13:22:07.664,switch_sensor46402,1-572,1130.933
2024-07-05 13:22:07.665,switch_sensor46413,1-572,1130.934
2024-07-05 13:22:07.667,switch_sensor46409,1-572,1130.936
2024-07-05 13:22:07.669,switch_sensor46401,1-572,1130.938
2024-07-05 13:22:07.668,switch_sensor46419,1-572,1130.937
2024-07-05 13:22:07.670,switch_sensor21418,1-572,1130.939
2024-07-05 13:22:07.672,switch_sensor21419,1-572,1130.941
2024-07-05 13:22:07.671,switch_sensor46d16,1-572,1130.94
2024-07-05 13:22:07.673,switch_sensor46407,1-572,1130.942
2024-07-05 13:22:07.674,switch_sensor46408,1-572,1130.943
2024-07-05 13:22:07.675,switch_sensor46d02,1-572,1130.944
2024-07-05 13:22:07.677,switch_sensor46404,1-572,1130.946
2024-07-05 13:22:07.678,switch_sensor21413,1-572,1130.947
2024-07-05 13:22:07.764,switch_sensor46403,1-572,1131.033
2024-07-05 13:22:07.765,switch_sensor21415,1-572,1131.034
2024-07-05 13:22:07.766,switch_sensor46410,1-572,1131.035
2024-07-05 13:22:07.767,switch_sensor46451,1-572,1131.036
2024-07-05 13:22:07.768,switch_sensor46412,1-572,1131.037
2024-07-05 13:22:07.770,switch_sensor21417,1-572,1131.039
2024-07-05 13:22:07.771,switch_sensor46416,1-572,1131.04
2024-07-05 13:22:07.772,switch_sensor46414,1-572,1131.041
2024-07-05 13:22:07.773,switch_sensor46405,1-572,1131.042
2024-07-05 13:22:07.774,switch_sensor46d04,1-572,1131.043
2024-07-05 13:22:07.775,undeploy_start,1-725,1131.044
2024-07-05 13:22:07.775,switch_sensor46490,1-572,1131.044
2024-07-05 13:22:07.842,switch_sensor46452,1-572,1131.111
2024-07-05 13:22:11.137,undeploy_complete,1-725,1134.406
2024-07-05 13:23:27.395,deploy_start,1-746,1210.664
2024-07-05 13:24:17.150,deploy_complete,1-746,1260.419
2024-07-05 13:24:17.159,switch_sensor21414,1-746,1260.428
2024-07-05 13:24:17.160,switch_sensor46411,1-746,1260.429
2024-07-05 13:24:17.184,switch_sensor21416,1-746,1260.453
2024-07-05 13:24:17.185,switch_sensor21d13,1-746,1260.454
2024-07-05 13:24:17.185,switch_sensor46413,1-746,1260.454
2024-07-05 13:24:17.186,switch_sensor46415,1-746,1260.455
2024-07-05 13:24:17.186,switch_sensor46409,1-746,1260.455
2024-07-05 13:24:17.188,switch_sensor46402,1-746,1260.457
2024-07-05 13:24:17.224,switch_sensor21418,1-746,1260.493
2024-07-05 13:24:17.226,switch_sensor46d16,1-746,1260.495
2024-07-05 13:24:17.226,switch_sensor21419,1-746,1260.495
2024-07-05 13:24:17.227,switch_sensor46407,1-746,1260.496
2024-07-05 13:24:17.228,switch_sensor46401,1-746,1260.497
2024-07-05 13:24:17.228,switch_sensor46419,1-746,1260.497
2024-07-05 13:24:17.253,switch_sensor46408,1-746,1260.522
2024-07-05 13:24:17.254,switch_sensor46d02,1-746,1260.523
2024-07-05 13:24:17.269,switch_sensor46404,1-746,1260.538
2024-07-05 13:24:17.285,switch_sensor46403,1-746,1260.554
2024-07-05 13:24:17.286,switch_sensor21415,1-746,1260.555
2024-07-05 13:24:17.287,switch_sensor46410,1-746,1260.556
2024-07-05 13:24:17.288,switch_sensor46451,1-746,1260.557
2024-07-05 13:24:17.288,switch_sensor46452,1-746,1260.557
2024-07-05 13:24:17.290,switch_sensor21413,1-746,1260.559
2024-07-05 13:24:17.313,switch_sensor46412,1-746,1260.582
2024-07-05 13:24:17.314,switch_sensor21417,1-746,1260.583
2024-07-05 13:24:17.333,switch_sensor46414,1-746,1260.602
2024-07-05 13:24:17.334,switch_sensor46405,1-746,1260.603
2024-07-05 13:24:17.335,switch_sensor46416,1-746,1260.604
2024-07-05 13:24:17.335,switch_sensor46d04,1-746,1260.604
2024-07-05 13:24:17.355,switch_sensor46490,1-746,1260.624
2024-07-05 13:24:17.354,undeploy_start,1-572,1260.623
2024-07-05 13:24:18.621,undeploy_complete,1-572,1261.89
2024-07-05 13:25:50.483,deploy_start,1-593,1353.752
2024-07-05 13:26:11.467,deploy_complete,1-593,1374.736
2024-07-05 13:26:11.470,switch_sensor21414,1-593,1374.739
2024-07-05 13:26:11.471,switch_sensor46411,1-593,1374.74
2024-07-05 13:26:11.474,switch_sensor46415,1-593,1374.743
2024-07-05 13:26:11.472,switch_sensor46402,1-593,1374.741
2024-07-05 13:26:11.475,switch_sensor21416,1-593,1374.744
2024-07-05 13:26:11.476,switch_sensor21d13,1-593,1374.745
2024-07-05 13:26:11.477,switch_sensor46413,1-593,1374.746
2024-07-05 13:26:11.478,switch_sensor46409,1-593,1374.747
2024-07-05 13:26:11.479,switch_sensor46419,1-593,1374.748
2024-07-05 13:26:11.481,switch_sensor46401,1-593,1374.75
2024-07-05 13:26:11.482,switch_sensor21418,1-593,1374.751
2024-07-05 13:26:11.483,switch_sensor46d16,1-593,1374.752
2024-07-05 13:26:11.484,switch_sensor21419,1-593,1374.753
2024-07-05 13:26:11.486,switch_sensor46407,1-593,1374.755
2024-07-05 13:26:11.487,switch_sensor46408,1-593,1374.756
2024-07-05 13:26:11.490,switch_sensor46404,1-593,1374.759
2024-07-05 13:26:11.488,switch_sensor46d02,1-593,1374.757
2024-07-05 13:26:11.491,switch_sensor21413,1-593,1374.76
2024-07-05 13:26:11.492,switch_sensor46452,1-593,1374.761
2024-07-05 13:26:11.582,switch_sensor21415,1-593,1374.851
2024-07-05 13:26:11.581,switch_sensor46403,1-593,1374.85
2024-07-05 13:26:11.583,switch_sensor46410,1-593,1374.852
2024-07-05 13:26:11.584,switch_sensor46451,1-593,1374.853
2024-07-05 13:26:11.586,switch_sensor46412,1-593,1374.855
2024-07-05 13:26:11.587,switch_sensor21417,1-593,1374.856
2024-07-05 13:26:11.588,switch_sensor46416,1-593,1374.857
2024-07-05 13:26:11.589,switch_sensor46414,1-593,1374.858
2024-07-05 13:26:11.590,switch_sensor46405,1-593,1374.859
2024-07-05 13:26:11.591,switch_sensor46d04,1-593,1374.86
2024-07-05 13:26:11.592,undeploy_start,1-746,1374.861
2024-07-05 13:26:11.592,switch_sensor46490,1-593,1374.861
2024-07-05 13:26:13.142,undeploy_complete,1-746,1376.411
