time_x,client_no,response_time,is_success,host,time_s,time_y,sat,distance
2024-07-05 13:04:08.507973,46415,0.02639,True,685,51.776973,2024-07-05 13:04:08.440,1-685,3234.0
2024-07-05 13:04:08.576810,21416,0.034391,True,685,51.84581,2024-07-05 13:04:08.441,1-685,12363.0
2024-07-05 13:04:08.587567,46412,0.062853,True,685,51.856567,2024-07-05 13:04:08.449,1-685,17433.0
2024-07-05 13:04:08.616528,46413,0.022811,True,685,51.885528,2024-07-05 13:04:08.442,1-685,6615.0
2024-07-05 13:04:08.635422,21417,0.041491,True,685,51.904422,2024-07-05 13:04:08.449,1-685,15423.0
2024-07-05 13:04:08.655032,46409,0.014079,True,685,51.924032,2024-07-05 13:04:08.442,1-685,2743.0
2024-07-05 13:04:08.677020,46419,0.02795,True,685,51.94602,2024-07-05 13:04:08.443,1-685,6212.0
2024-07-05 13:04:08.715225,21d13,0.066736,True,685,51.984225,2024-07-05 13:04:08.442,1-685,25515.0
2024-07-05 13:04:09.764159,46401,0.023447,True,685,53.033159,2024-07-05 13:04:08.443,1-685,6755.0
2024-07-05 13:04:09.770765,46d16,0.023592,True,685,53.039765,2024-07-05 13:04:08.444,1-685,4466.0
2024-07-05 13:04:09.814435,46416,0.017723,True,685,53.083435,2024-07-05 13:04:08.450,1-685,4461.0
2024-07-05 13:04:09.855764,46414,0.012557,True,685,53.124764,2024-07-05 13:04:08.450,1-685,2076.0
2024-07-05 13:04:09.900719,21418,0.054565,True,685,53.169719,2024-07-05 13:04:08.443,1-685,23174.0
2024-07-05 13:04:09.979621,46408,0.020213,True,685,53.248621,2024-07-05 13:04:08.445,1-685,5283.0
2024-07-05 13:04:10.089635,21419,0.046166,True,685,53.358635,2024-07-05 13:04:08.444,1-685,15156.0
2024-07-05 13:04:10.106854,46405,0.034242,True,685,53.375854,2024-07-05 13:04:08.537,1-685,9137.0
2024-07-05 13:04:10.112174,46d02,0.018155,True,685,53.381174,2024-07-05 13:04:08.445,1-685,4019.0
2024-07-05 13:04:10.134137,46407,0.025738,True,685,53.403137,2024-07-05 13:04:08.444,1-685,8800.0
2024-07-05 13:04:10.158628,46404,0.023103,True,685,53.427628,2024-07-05 13:04:08.446,1-685,7446.0
2024-07-05 13:04:10.252670,46d04,0.024851,True,685,53.52167,2024-07-05 13:04:08.538,1-685,7433.0
2024-07-05 13:04:10.265428,46452,0.025826,True,685,53.534428,2024-07-05 13:04:08.447,1-685,8511.0
2024-07-05 13:04:10.291897,21413,0.061118,True,685,53.560897,2024-07-05 13:04:08.446,1-685,25513.0
2024-07-05 13:04:10.333244,21414,0.025817,True,685,53.602244,2024-07-05 13:04:08.439,1-685,8283.0
2024-07-05 13:04:10.353212,46403,0.013871,True,685,53.622212,2024-07-05 13:04:08.447,1-685,2321.0
2024-07-05 13:04:10.376021,21415,0.028221,True,685,53.645021,2024-07-05 13:04:08.447,1-685,10009.0
2024-07-05 13:04:10.403635,46410,0.014923,True,685,53.672635,2024-07-05 13:04:08.448,1-685,3244.0
2024-07-05 13:04:10.432367,46490,0.044149,True,685,53.701367,2024-07-05 13:04:08.538,1-685,17393.0
2024-07-05 13:04:10.451396,46411,0.028444,True,685,53.720396,2024-07-05 13:04:08.440,1-685,9813.0
2024-07-05 13:04:10.475749,46402,0.016706,True,685,53.744749,2024-07-05 13:04:08.440,1-685,4010.0
2024-07-05 13:04:10.501117,46451,0.025943,True,685,53.770117,2024-07-05 13:04:08.448,1-685,8514.0
