time,gst,sat,delay,time_ms
2024-07-03 13:20:56.227,redmond,1-1,3195.0,451524.0
2024-07-03 13:20:56.265,redmond,1-1,3195.0,451562.0
2024-07-03 13:20:56.295,redmond,1-1,3195.0,451592.0
2024-07-03 13:20:56.324,redmond,1-1,3195.0,451621.0
2024-07-03 13:20:56.353,redmond,1-1,3195.0,451650.0
2024-07-03 13:20:56.383,redmond,1-1,3195.0,451680.0
2024-07-03 13:20:56.412,redmond,1-1,3195.0,451709.0
2024-07-03 13:20:56.441,redmond,1-1,3195.0,451738.0
2024-07-03 13:20:56.470,redmond,1-1,3195.0,451767.0
2024-07-03 13:20:56.499,redmond,1-1,3195.0,451796.0
2024-07-03 13:20:56.529,redmond,1-1,3195.0,451826.0
2024-07-03 13:20:56.558,redmond,1-1,3195.0,451855.0
2024-07-03 13:20:56.587,redmond,1-1,3195.0,451884.0
2024-07-03 13:20:56.616,redmond,1-1,3195.0,451913.0
2024-07-03 13:20:56.645,redmond,1-1,3195.0,451942.0
2024-07-03 13:20:56.674,redmond,1-1,3195.0,451971.0
2024-07-03 13:20:56.703,redmond,1-1,3195.0,452000.0
2024-07-03 13:20:56.732,redmond,1-1,3195.0,452029.0
2024-07-03 13:20:56.761,redmond,1-1,3195.0,452058.0
2024-07-03 13:20:56.790,redmond,1-1,3195.0,452087.0
2024-07-03 13:20:56.820,redmond,1-1,3195.0,452117.0
2024-07-03 13:20:56.850,redmond,1-1,3195.0,452147.0
2024-07-03 13:20:56.879,redmond,1-1,3195.0,452176.0
2024-07-03 13:20:56.909,redmond,1-1,3195.0,452206.0
2024-07-03 13:20:56.938,redmond,1-1,3195.0,452235.0
2024-07-03 13:20:56.967,redmond,1-1,3195.0,452264.0
2024-07-03 13:20:56.995,redmond,1-1,3195.0,452292.0
2024-07-03 13:20:57.025,redmond,1-1,3195.0,452322.0
2024-07-03 13:20:57.053,redmond,1-1,3195.0,452350.0
2024-07-03 13:20:57.082,redmond,1-1,3195.0,452379.0
2024-07-03 13:20:57.111,redmond,1-1,3195.0,452408.0
2024-07-03 13:20:57.140,redmond,1-1,3195.0,452437.0
2024-07-03 13:20:57.169,redmond,1-1,3195.0,452466.0
2024-07-03 13:20:57.198,redmond,1-1,3195.0,452495.0
2024-07-03 13:20:57.227,redmond,1-1,3195.0,452524.0
2024-07-03 13:20:57.256,redmond,1-1,3195.0,452553.0
2024-07-03 13:20:57.286,redmond,1-1,3195.0,452583.0
2024-07-03 13:20:57.315,redmond,1-1,3195.0,452612.0
2024-07-03 13:20:57.345,redmond,1-1,3195.0,452642.0
2024-07-03 13:20:57.374,redmond,1-1,3195.0,452671.0
2024-07-03 13:20:57.404,redmond,1-1,3195.0,452701.0
2024-07-03 13:20:57.450,redmond,1-1,3195.0,452747.0
2024-07-03 13:20:57.479,redmond,1-1,3195.0,452776.0
2024-07-03 13:20:57.508,redmond,1-1,3195.0,452805.0
2024-07-03 13:20:57.537,redmond,1-1,3195.0,452834.0
2024-07-03 13:20:57.566,redmond,1-1,3195.0,452863.0
2024-07-03 13:20:57.595,redmond,1-1,3195.0,452892.0
2024-07-03 13:20:57.624,redmond,1-1,3195.0,452921.0
2024-07-03 13:20:57.653,redmond,1-1,3195.0,452950.0
2024-07-03 13:20:57.682,redmond,1-1,3195.0,452979.0
2024-07-03 13:20:57.710,redmond,1-1,3195.0,453007.0
2024-07-03 13:20:57.739,redmond,1-1,3195.0,453036.0
2024-07-03 13:20:57.769,redmond,1-1,3195.0,453066.0
2024-07-03 13:20:57.798,redmond,1-1,3195.0,453095.0
2024-07-03 13:20:57.827,redmond,1-1,3195.0,453124.0
2024-07-03 13:20:57.857,redmond,1-1,3195.0,453154.0
2024-07-03 13:20:57.885,redmond,1-1,3195.0,453182.0
2024-07-03 13:20:57.914,redmond,1-1,3195.0,453211.0
2024-07-03 13:20:57.943,redmond,1-1,3195.0,453240.0
2024-07-03 13:20:57.972,redmond,1-1,3195.0,453269.0
2024-07-03 13:20:58.002,redmond,1-1,3195.0,453299.0
2024-07-03 13:20:58.031,redmond,1-1,3195.0,453328.0
2024-07-03 13:20:58.061,redmond,1-1,3195.0,453358.0
2024-07-03 13:20:58.090,redmond,1-1,3195.0,453387.0
2024-07-03 13:20:58.119,redmond,1-1,3195.0,453416.0
2024-07-03 13:20:58.149,redmond,1-1,3195.0,453446.0
2024-07-03 13:20:58.178,redmond,1-1,3195.0,453475.0
2024-07-03 13:20:58.207,redmond,1-1,3195.0,453504.0
2024-07-03 13:20:58.236,redmond,1-1,3195.0,453533.0
2024-07-03 13:20:58.265,redmond,1-1,3195.0,453562.0
2024-07-03 13:20:58.294,redmond,1-1,3195.0,453591.0
2024-07-03 13:20:58.323,redmond,1-1,3195.0,453620.0
2024-07-03 13:20:58.352,redmond,1-1,3195.0,453649.0
2024-07-03 13:20:58.381,redmond,1-1,3195.0,453678.0
2024-07-03 13:20:58.410,redmond,1-1,3195.0,453707.0
2024-07-03 13:20:58.439,redmond,1-1,3195.0,453736.0
2024-07-03 13:20:58.469,redmond,1-1,3195.0,453766.0
2024-07-03 13:20:58.498,redmond,1-1,3195.0,453795.0
2024-07-03 13:20:58.527,redmond,1-1,3195.0,453824.0
2024-07-03 13:20:58.556,redmond,1-1,3195.0,453853.0
2024-07-03 13:20:58.586,redmond,1-1,3195.0,453883.0
2024-07-03 13:20:58.625,redmond,1-1,3195.0,453922.0
2024-07-03 13:20:58.654,redmond,1-1,3195.0,453951.0
2024-07-03 13:20:58.683,redmond,1-1,3195.0,453980.0
2024-07-03 13:20:58.712,redmond,1-1,3195.0,454009.0
2024-07-03 13:20:58.741,redmond,1-1,3195.0,454038.0
2024-07-03 13:20:58.770,redmond,1-1,3195.0,454067.0
2024-07-03 13:20:58.799,redmond,1-1,3195.0,454096.0
2024-07-03 13:20:58.828,redmond,1-1,3195.0,454125.0
2024-07-03 13:20:58.858,redmond,1-1,3195.0,454155.0
2024-07-03 13:20:58.887,redmond,1-1,3195.0,454184.0
2024-07-03 13:20:58.916,redmond,1-1,3195.0,454213.0
2024-07-03 13:20:58.945,redmond,1-1,3195.0,454242.0
2024-07-03 13:20:58.974,redmond,1-1,3195.0,454271.0
2024-07-03 13:20:59.003,redmond,1-1,3195.0,454300.0
2024-07-03 13:20:59.031,redmond,1-1,3195.0,454328.0
2024-07-03 13:20:59.060,redmond,1-1,3195.0,454357.0
2024-07-03 13:20:59.090,redmond,1-1,3195.0,454387.0
2024-07-03 13:20:59.119,redmond,1-1,3195.0,454416.0
2024-07-03 13:20:59.148,redmond,1-1,3195.0,454445.0
2024-07-03 13:20:59.177,redmond,1-1,3195.0,454474.0
2024-07-03 13:20:59.206,redmond,1-1,3195.0,454503.0
2024-07-03 13:20:59.235,redmond,1-1,3195.0,454532.0
2024-07-03 13:20:59.264,redmond,1-1,3195.0,454561.0
2024-07-03 13:20:59.293,redmond,1-1,3195.0,454590.0
2024-07-03 13:20:59.322,redmond,1-1,3195.0,454619.0
2024-07-03 13:20:59.351,redmond,1-1,3195.0,454648.0
2024-07-03 13:20:59.380,redmond,1-1,3195.0,454677.0
2024-07-03 13:20:59.408,redmond,1-1,3195.0,454705.0
2024-07-03 13:20:59.437,redmond,1-1,3195.0,454734.0
2024-07-03 13:20:59.466,redmond,1-1,3195.0,454763.0
2024-07-03 13:20:59.495,redmond,1-1,3195.0,454792.0
2024-07-03 13:20:59.524,redmond,1-1,3195.0,454821.0
2024-07-03 13:20:59.553,redmond,1-1,3195.0,454850.0
2024-07-03 13:20:59.582,redmond,1-1,3195.0,454879.0
