time,op,req_t,host,time_ms
2024-07-03 13:23:44.461244,put,0.01779,0.1.celestial:8000,619758.244
2024-07-03 13:23:44.480742,get,0.018412,0.1.celestial:8000,619777.742
2024-07-03 13:23:45.463539,put,0.019567,0.1.celestial:8000,620760.539
2024-07-03 13:23:45.493148,get,0.028522,0.1.celestial:8000,620790.148
2024-07-03 13:23:46.475414,put,0.031042,0.1.celestial:8000,621772.414
2024-07-03 13:23:46.505153,get,0.028667,0.1.celestial:8000,621802.153
2024-07-03 13:23:47.470896,put,0.026025,0.1.celestial:8000,622767.896
2024-07-03 13:23:47.503317,get,0.031286,0.1.celestial:8000,622800.317
2024-07-03 13:23:48.471589,put,0.02594,0.1.celestial:8000,623768.589
2024-07-03 13:23:48.505505,get,0.032847,0.1.celestial:8000,623802.505
2024-07-03 13:23:49.474771,put,0.028917,0.1.celestial:8000,624771.771
2024-07-03 13:23:49.507155,get,0.031268,0.1.celestial:8000,624804.155
2024-07-03 13:23:50.475170,put,0.028433,0.1.celestial:8000,625772.17
2024-07-03 13:23:50.494206,get,0.017971,0.1.celestial:8000,625791.206
2024-07-03 13:23:51.476927,put,0.029482,0.1.celestial:8000,626773.927
2024-07-03 13:23:51.504665,get,0.026582,0.1.celestial:8000,626801.665
2024-07-03 13:23:52.477138,put,0.029231,0.1.celestial:8000,627774.138
2024-07-03 13:23:52.509623,get,0.030846,0.1.celestial:8000,627806.623
2024-07-03 13:23:53.479242,put,0.030355,0.1.celestial:8000,628776.242
2024-07-03 13:23:53.510047,get,0.029739,0.1.celestial:8000,628807.047
2024-07-03 13:23:54.466066,put,0.016722,0.1.celestial:8000,629763.066
2024-07-03 13:23:54.494526,get,0.027216,0.1.celestial:8000,629791.526
2024-07-03 13:23:55.540327,put,0.090491,0.1.celestial:8000,630837.327
2024-07-03 13:23:55.561296,get,0.019871,0.1.celestial:8000,630858.296
2024-07-03 13:23:56.479710,put,0.029092,0.1.celestial:8000,631776.71
2024-07-03 13:23:56.497672,get,0.016893,0.1.celestial:8000,631794.672
2024-07-03 13:23:57.466947,put,0.016038,0.1.celestial:8000,632763.947
2024-07-03 13:23:57.485443,get,0.017416,0.1.celestial:8000,632782.443
2024-07-03 13:23:58.480792,put,0.028985,0.1.celestial:8000,633777.792
2024-07-03 13:23:58.501901,get,0.019549,0.1.celestial:8000,633798.901
2024-07-03 13:23:59.469454,put,0.01732,0.1.celestial:8000,634766.454
2024-07-03 13:23:59.487762,get,0.017193,0.1.celestial:8000,634784.762
2024-07-03 13:24:00.470742,put,0.017773,0.1.celestial:8000,635767.742
2024-07-03 13:24:00.489357,get,0.017506,0.1.celestial:8000,635786.357
2024-07-03 13:24:01.481031,put,0.027272,0.1.celestial:8000,636778.031
2024-07-03 13:24:01.512744,get,0.030044,0.1.celestial:8000,636809.744
2024-07-03 13:24:02.471778,put,0.017786,0.1.celestial:8000,637768.778
2024-07-03 13:24:02.489695,get,0.016869,0.1.celestial:8000,637786.695
2024-07-03 13:24:03.474233,put,0.019144,0.1.celestial:8000,638771.233
2024-07-03 13:24:03.503337,get,0.027997,0.1.celestial:8000,638800.337
2024-07-03 13:24:04.481480,put,0.02585,0.1.celestial:8000,639778.48
2024-07-03 13:24:04.499810,get,0.017255,0.1.celestial:8000,639796.81
2024-07-03 13:24:05.472993,put,0.016931,0.1.celestial:8000,640769.993
2024-07-03 13:24:05.491803,get,0.01774,0.1.celestial:8000,640788.803
2024-07-03 13:24:06.482463,put,0.026253,0.1.celestial:8000,641779.463
2024-07-03 13:24:06.511019,get,0.027447,0.1.celestial:8000,641808.019
2024-07-03 13:24:07.488529,put,0.032278,0.1.celestial:8000,642785.529
2024-07-03 13:24:07.507628,get,0.018034,0.1.celestial:8000,642804.628
2024-07-03 13:24:08.484648,put,0.027512,0.1.celestial:8000,643781.648
2024-07-03 13:24:08.517897,get,0.032151,0.1.celestial:8000,643814.897
2024-07-03 13:24:09.491553,put,0.034279,0.1.celestial:8000,644788.553
2024-07-03 13:24:09.522468,get,0.029817,0.1.celestial:8000,644819.468
2024-07-03 13:24:10.483777,put,0.026099,0.1.celestial:8000,645780.777
2024-07-03 13:24:10.514494,get,0.029634,0.1.celestial:8000,645811.494
2024-07-03 13:24:11.490680,put,0.032945,0.1.celestial:8000,646787.68
2024-07-03 13:24:11.509599,get,0.017835,0.1.celestial:8000,646806.599
2024-07-03 13:24:12.483480,put,0.025606,0.1.celestial:8000,647780.48
2024-07-03 13:24:12.501168,get,0.016594,0.1.celestial:8000,647798.168
2024-07-03 13:24:13.487135,put,0.028714,0.1.celestial:8000,648784.135
2024-07-03 13:24:13.505112,get,0.016883,0.1.celestial:8000,648802.112
2024-07-03 13:24:14.477201,put,0.017701,0.1.celestial:8000,649774.201
2024-07-03 13:24:14.509810,get,0.031466,0.1.celestial:8000,649806.81
2024-07-03 13:24:15.484225,put,0.023955,0.1.celestial:8000,650781.225
2024-07-03 13:24:15.503627,get,0.018353,0.1.celestial:8000,650800.627
2024-07-03 13:24:16.483143,put,0.022326,0.1.celestial:8000,651780.143
2024-07-03 13:24:16.501891,get,0.017687,0.1.celestial:8000,651798.891
2024-07-03 13:24:17.477509,put,0.016313,0.1.celestial:8000,652774.509
2024-07-03 13:24:17.496514,get,0.017907,0.1.celestial:8000,652793.514
2024-07-03 13:24:18.490319,put,0.02848,0.1.celestial:8000,653787.319
2024-07-03 13:24:18.522443,get,0.030885,0.1.celestial:8000,653819.443
2024-07-03 13:24:19.480251,put,0.017419,0.1.celestial:8000,654777.251
2024-07-03 13:24:19.511185,get,0.029863,0.1.celestial:8000,654808.185
2024-07-03 13:24:20.481199,put,0.017753,0.1.celestial:8000,655778.199
2024-07-03 13:24:20.511900,get,0.029622,0.1.celestial:8000,655808.9
2024-07-03 13:24:21.493389,put,0.029109,0.1.celestial:8000,656790.389
2024-07-03 13:24:21.512672,get,0.018219,0.1.celestial:8000,656809.672
2024-07-03 13:24:22.493547,put,0.028495,0.1.celestial:8000,657790.547
2024-07-03 13:24:22.524630,get,0.030001,0.1.celestial:8000,657821.63
2024-07-03 13:24:23.493848,put,0.027666,0.1.celestial:8000,658790.848
2024-07-03 13:24:23.512716,get,0.017802,0.1.celestial:8000,658809.716
2024-07-03 13:24:24.497463,put,0.030383,0.1.celestial:8000,659794.463
2024-07-03 13:24:24.515515,get,0.016987,0.1.celestial:8000,659812.515
2024-07-03 13:24:25.495706,put,0.027756,0.1.celestial:8000,660792.706
2024-07-03 13:24:25.514518,get,0.017752,0.1.celestial:8000,660811.518
2024-07-03 13:24:26.486846,put,0.017972,0.1.celestial:8000,661783.846
2024-07-03 13:24:26.505999,get,0.01808,0.1.celestial:8000,661802.999
2024-07-03 13:24:27.653017,put,0.183705,0.1.celestial:8000,662950.017
2024-07-03 13:24:27.686825,get,0.032678,0.1.celestial:8000,662983.825
2024-07-03 13:24:28.501795,put,0.031547,0.1.celestial:8000,663798.795
2024-07-03 13:24:28.533049,get,0.030139,0.1.celestial:8000,663830.049
2024-07-03 13:24:29.486938,put,0.016635,0.1.celestial:8000,664783.938
2024-07-03 13:24:29.516896,get,0.028743,0.1.celestial:8000,664813.896
2024-07-03 13:24:30.488488,put,0.017192,0.1.celestial:8000,665785.488
2024-07-03 13:24:30.519727,get,0.030052,0.1.celestial:8000,665816.727
2024-07-03 13:24:31.501283,put,0.029132,0.1.celestial:8000,666798.283
2024-07-03 13:24:31.523604,get,0.021208,0.1.celestial:8000,666820.604
2024-07-03 13:24:32.489997,put,0.01702,0.1.celestial:8000,667786.997
2024-07-03 13:24:32.508816,get,0.01772,0.1.celestial:8000,667805.816
2024-07-03 13:24:33.505712,put,0.032103,0.1.celestial:8000,668802.712
2024-07-03 13:24:33.541439,get,0.034669,0.1.celestial:8000,668838.439
2024-07-03 13:24:34.492706,put,0.019003,0.1.celestial:8000,669789.706
2024-07-03 13:24:34.510577,get,0.016829,0.1.celestial:8000,669807.577
2024-07-03 13:24:35.501247,put,0.027361,0.1.celestial:8000,670798.247
2024-07-03 13:24:35.520568,get,0.018304,0.1.celestial:8000,670817.568
2024-07-03 13:24:36.493186,put,0.01812,0.1.celestial:8000,671790.186
2024-07-03 13:24:36.521632,get,0.027332,0.1.celestial:8000,671818.632
2024-07-03 13:24:37.493037,put,0.017156,0.1.celestial:8000,672790.037
2024-07-03 13:24:37.521660,get,0.027016,0.1.celestial:8000,672818.66
2024-07-03 13:24:38.513833,put,0.037705,0.1.celestial:8000,673810.833
2024-07-03 13:24:38.566690,get,0.051565,0.1.celestial:8000,673863.69
2024-07-03 13:24:39.507042,put,0.030019,0.1.celestial:8000,674804.042
2024-07-03 13:24:39.525371,get,0.017253,0.1.celestial:8000,674822.371
2024-07-03 13:24:40.493893,put,0.016283,0.1.celestial:8000,675790.893
2024-07-03 13:24:40.512535,get,0.017526,0.1.celestial:8000,675809.535
2024-07-03 13:24:41.505031,put,0.027267,0.1.celestial:8000,676802.031
2024-07-03 13:24:41.536774,get,0.030164,0.1.celestial:8000,676833.774
2024-07-03 13:24:42.504665,put,0.026662,0.1.celestial:8000,677801.665
2024-07-03 13:24:42.535215,get,0.029483,0.1.celestial:8000,677832.215
2024-07-03 13:24:43.506357,put,0.02788,0.1.celestial:8000,678803.357
2024-07-03 13:24:43.534698,get,0.027261,0.1.celestial:8000,678831.698
2024-07-03 13:24:44.511636,put,0.032667,0.1.celestial:8000,679808.636
2024-07-03 13:24:44.546286,get,0.03356,0.1.celestial:8000,679843.286
2024-07-03 13:24:45.497944,put,0.018368,0.1.celestial:8000,680794.944
2024-07-03 13:24:45.533555,get,0.0343,0.1.celestial:8000,680830.555
2024-07-03 13:24:46.512991,put,0.033016,0.1.celestial:8000,681809.991
2024-07-03 13:24:46.544070,get,0.030019,0.1.celestial:8000,681841.07
2024-07-03 13:24:47.513933,put,0.033465,0.1.celestial:8000,682810.933
2024-07-03 13:24:47.543458,get,0.028438,0.1.celestial:8000,682840.458
2024-07-03 13:24:48.512697,put,0.032036,0.1.celestial:8000,683809.697
2024-07-03 13:24:48.532622,get,0.018917,0.1.celestial:8000,683829.622
2024-07-03 13:24:49.499217,put,0.018363,0.1.celestial:8000,684796.217
2024-07-03 13:24:49.519822,get,0.019582,0.1.celestial:8000,684816.822
2024-07-03 13:24:50.514119,put,0.033031,0.1.celestial:8000,685811.119
2024-07-03 13:24:50.549223,get,0.034051,0.1.celestial:8000,685846.223
2024-07-03 13:24:51.501836,put,0.020165,0.1.celestial:8000,686798.836
2024-07-03 13:24:51.538134,get,0.035102,0.1.celestial:8000,686835.134
2024-07-03 13:24:52.501070,put,0.018705,0.1.celestial:8000,687798.07
2024-07-03 13:24:52.521793,get,0.019222,0.1.celestial:8000,687818.793
2024-07-03 13:24:53.510134,put,0.026671,0.1.celestial:8000,688807.134
2024-07-03 13:24:53.537839,get,0.026619,0.1.celestial:8000,688834.839
2024-07-03 13:24:54.515423,put,0.031306,0.1.celestial:8000,689812.423
2024-07-03 13:24:54.545932,get,0.029428,0.1.celestial:8000,689842.932
2024-07-03 13:24:55.515339,put,0.031185,0.1.celestial:8000,690812.339
2024-07-03 13:24:55.546450,get,0.030039,0.1.celestial:8000,690843.45
2024-07-03 13:24:56.519503,put,0.034788,0.1.celestial:8000,691816.503
2024-07-03 13:24:56.555334,get,0.034753,0.1.celestial:8000,691852.334
2024-07-03 13:24:57.516699,put,0.030926,0.1.celestial:8000,692813.699
2024-07-03 13:24:57.537831,get,0.020016,0.1.celestial:8000,692834.831
2024-07-03 13:24:58.507291,put,0.021006,0.1.celestial:8000,693804.291
