t,ground_station,satellite,distance
1053,client-corvallis,1348,2735
1053,client-molalla,1348,2743
1053,client-campsherman,1348,2220
1053,client-prineville,1348,2231
1053,client-lagrande,1348,2193
1053,client-mccall,1348,2216
1053,client-cobalt,1348,2214
1053,client-may,1348,2217
1053,client-darby,1348,2224
1053,client-bannack,1348,2221
1053,client-wisdom,1348,2232
1054,client-shaniko,1348,2206
1054,client-baker,1348,2195
1054,client-prescott,1348,2208
1054,client-twinfalls,1348,2200
1054,client-greatfalls,69,2716
1054,client-pocatello,1348,2210
1054,client-bozeman,1348,2714
1054,client-everett,69,2196
1054,client-medford,1348,2731
1054,client-spokane,1348,2210
1054,client-kimberly,1348,2199
1054,client-yakima,1348,2717
1054,client-centralia,1348,2706
1054,client-cascade,1348,2205
1054,client-salmon,1348,2211
1054,client-burns,1348,2230
1054,client-bend,1348,2199
1054,client-kalispell,69,2204
1054,client-charlo,69,2722
1054,client-pullman,1348,2207
1054,client-seneca,1348,2216
1054,client-brownsville,1348,2703
1054,client-yachats,1348,2733
1054,client-tillamook,69,2724
1054,client-maupin,1348,2208
1054,client-boardman,1348,2199
1054,client-kennewick,1348,2210
1054,client-aberdeen,69,2196
1054,client-pollock,1348,2201
1054,client-packwood,1348,2713
1054,client-clarkia,1348,2220
1054,client-malden,1348,2207
1054,client-ritzville,1348,2218
1054,client-odessa,1348,2226
1054,client-quincy,1348,2731
1054,client-roslyn,1348,2715
1054,client-snoqualmie,1348,2728
1054,client-baringoo,1348,2724
1054,client-kalaloch,69,2192
1054,client-corvallis,1348,2735
1054,client-molalla,1348,2743
1054,client-campsherman,1348,2220
1054,client-prineville,1348,2231
1054,client-lagrande,1348,2193
1054,client-mccall,1348,2216
1054,client-cobalt,1348,2214
1054,client-may,1348,2217
1054,client-darby,1348,2224
1054,client-bannack,1348,2221
1054,client-wisdom,1348,2232
1055,client-shaniko,69,2220
1055,client-baker,69,2730
1055,client-prescott,69,2210
1055,client-twinfalls,1326,2708
1055,client-greatfalls,69,2716
1055,client-pocatello,1326,2728
1055,client-bozeman,69,3229
1055,client-everett,69,2196
1055,client-medford,1326,2211
1055,client-spokane,69,2220
1055,client-kimberly,69,2718
1055,client-yakima,69,2199
1055,client-centralia,69,2206
1055,client-cascade,69,2735
1055,client-salmon,69,2726
1055,client-burns,69,2730
1055,client-bend,69,2720
1055,client-kalispell,69,2204
1055,client-charlo,69,2722
1055,client-pullman,69,2206
1055,client-seneca,69,2730
1055,client-brownsville,69,2744
1055,client-yachats,69,2715
1055,client-tillamook,69,2724
1055,client-maupin,69,2214
1055,client-boardman,69,2198
1055,client-kennewick,69,2198
1055,client-aberdeen,69,2196
1055,client-pollock,69,2722
1055,client-packwood,69,2227
1055,client-clarkia,69,2205
1055,client-malden,69,2212
1055,client-ritzville,69,2191
1055,client-odessa,69,2213
1055,client-quincy,69,2237
1055,client-roslyn,69,2214
1055,client-snoqualmie,69,2218
1055,client-baringoo,69,2201
1055,client-kalaloch,69,2192
1055,client-corvallis,69,2728
1055,client-molalla,69,2223
1055,client-campsherman,69,2714
1055,client-prineville,69,2726
1055,client-lagrande,69,2719
1055,client-mccall,69,2716
1055,client-cobalt,69,2723
1055,client-may,1326,2729
1055,client-darby,69,2728
1055,client-bannack,1326,2725
1055,client-wisdom,69,2719
1056,client-shaniko,69,2220
1056,client-baker,69,2730
1056,client-prescott,69,2210
1056,client-twinfalls,1326,2708
1056,client-greatfalls,69,2716
1056,client-pocatello,1326,2728
1056,client-bozeman,69,3229
1056,client-everett,69,2196
1056,client-medford,1326,2211
1056,client-spokane,69,2220
1056,client-kimberly,69,2718
1056,client-yakima,69,2199
1056,client-centralia,69,2206
1056,client-cascade,69,2735
1056,client-salmon,69,2726
1056,client-burns,69,2730
1056,client-bend,69,2720
1056,client-kalispell,69,2204
1056,client-charlo,69,2722
1056,client-pullman,69,2206
1056,client-seneca,69,2730
1056,client-brownsville,69,2744
1056,client-yachats,69,2715
1056,client-tillamook,69,2724
1056,client-maupin,69,2214
1056,client-boardman,69,2198
1056,client-kennewick,69,2198
1056,client-aberdeen,69,2196
1056,client-pollock,69,2722
1056,client-packwood,69,2227
1056,client-clarkia,69,2205
1056,client-malden,69,2212
1056,client-ritzville,69,2191
1056,client-odessa,69,2213
1056,client-quincy,69,2237
1056,client-roslyn,69,2214
1056,client-snoqualmie,69,2218
1056,client-baringoo,69,2201
1056,client-kalaloch,69,2192
1056,client-corvallis,69,2728
1056,client-molalla,69,2223
1056,client-campsherman,69,2714
1056,client-prineville,69,2726
1056,client-lagrande,69,2719
1056,client-mccall,69,2716
1056,client-cobalt,69,2723
1056,client-may,1326,2729
1056,client-darby,69,2728
1056,client-bannack,1326,2725
1056,client-wisdom,69,2719
1057,client-shaniko,69,2220
1057,client-baker,69,2730
1057,client-prescott,69,2210
1057,client-twinfalls,1326,2708
1057,client-greatfalls,69,2716
1057,client-pocatello,1326,2728
1057,client-bozeman,69,3229
1057,client-everett,69,2196
1057,client-medford,1326,2211
1057,client-spokane,69,2220
1057,client-kimberly,69,2718
1057,client-yakima,69,2199
1057,client-centralia,69,2206
1057,client-cascade,69,2735
1057,client-salmon,69,2726
1057,client-burns,69,2730
1057,client-bend,69,2720
1057,client-kalispell,69,2204
1057,client-charlo,69,2215
1057,client-pullman,69,2206
1057,client-seneca,69,2730
1057,client-brownsville,69,2744
1057,client-yachats,69,2715
1057,client-tillamook,69,2724
1057,client-maupin,69,2214
1057,client-boardman,69,2198
1057,client-kennewick,69,2198
1057,client-aberdeen,69,2196
1057,client-pollock,69,2722
1057,client-packwood,69,2227
1057,client-clarkia,69,2205
1057,client-malden,69,2212
1057,client-ritzville,69,2191
1057,client-odessa,69,2213
1057,client-quincy,69,2237
1057,client-roslyn,69,2214
1057,client-snoqualmie,69,2218
1057,client-baringoo,69,2201
1057,client-kalaloch,69,2192
1057,client-corvallis,69,2728
1057,client-molalla,69,2223
1057,client-campsherman,69,2714
1057,client-prineville,69,2726
1057,client-lagrande,69,2719
1057,client-mccall,69,2716
1057,client-cobalt,69,2723
1057,client-may,1326,2729
1057,client-darby,69,2728
1057,client-bannack,1326,2725
1057,client-wisdom,69,2719
1058,client-shaniko,69,2220
1058,client-baker,69,2730
1058,client-prescott,69,2210
1058,client-twinfalls,1326,2708
1058,client-greatfalls,69,2716
1058,client-pocatello,1326,2728
1058,client-bozeman,69,3229
1058,client-everett,69,2196
1058,client-medford,1326,2211
1058,client-spokane,69,2220
1058,client-kimberly,69,2718
1058,client-yakima,69,2199
1058,client-centralia,69,2206
1058,client-cascade,69,2735
1058,client-salmon,69,2726
1058,client-burns,69,2730
1058,client-bend,69,2720
1058,client-kalispell,69,2204
1058,client-charlo,69,2215
1058,client-pullman,69,2206
1058,client-seneca,69,2730
1058,client-brownsville,69,2744
1058,client-yachats,69,2715
1058,client-tillamook,69,2724
1058,client-maupin,69,2214
1058,client-boardman,69,2198
1058,client-kennewick,69,2198
1058,client-aberdeen,69,2196
1058,client-pollock,69,2722
1058,client-packwood,69,2227
1058,client-clarkia,69,2205
1058,client-malden,69,2212
1058,client-ritzville,69,2191
1058,client-odessa,69,2213
1058,client-quincy,69,2237
1058,client-roslyn,69,2214
1058,client-snoqualmie,69,2218
1058,client-baringoo,69,2201
1058,client-kalaloch,69,2192
1058,client-corvallis,69,2728
1058,client-molalla,69,2223
1058,client-campsherman,69,2714
1058,client-prineville,69,2726
1058,client-lagrande,69,2719
1058,client-mccall,69,2716
1058,client-cobalt,69,2723
1058,client-may,1326,2729
1058,client-darby,69,2728
1058,client-bannack,1326,2725
1058,client-wisdom,69,2719
1059,client-shaniko,69,2220
1059,client-baker,69,2730
1059,client-prescott,69,2210
1059,client-twinfalls,1326,2708
1059,client-greatfalls,69,2716
1059,client-pocatello,1326,2728
1059,client-bozeman,69,3229
1059,client-everett,69,2196
1059,client-medford,1326,2211
1059,client-spokane,69,2220
1059,client-kimberly,69,2718
1059,client-yakima,69,2199
1059,client-centralia,69,2206
1059,client-cascade,69,2735
1059,client-salmon,69,2726
1059,client-burns,69,2730
1059,client-bend,69,2720
1059,client-kalispell,69,2204
1059,client-charlo,69,2215
1059,client-pullman,69,2206
1059,client-seneca,69,2730
1059,client-brownsville,69,2744
1059,client-yachats,69,2715
1059,client-tillamook,69,2724
1059,client-maupin,69,2214
1059,client-boardman,69,2198
1059,client-kennewick,69,2198
1059,client-aberdeen,69,2196
1059,client-pollock,69,2722
1059,client-packwood,69,2227
1059,client-clarkia,69,2205
1059,client-malden,69,2212
1059,client-ritzville,69,2191
1059,client-odessa,69,2213
1059,client-quincy,69,2237
1059,client-roslyn,69,2214
1059,client-snoqualmie,69,2218
1059,client-baringoo,69,2201
1059,client-kalaloch,69,2192
1059,client-corvallis,69,2728
1059,client-molalla,69,2732
1059,client-campsherman,69,2714
1059,client-prineville,69,2726
1059,client-lagrande,69,2719
1059,client-mccall,69,2716
1059,client-cobalt,69,2723
1059,client-may,1326,2729
1059,client-darby,69,2728
1059,client-bannack,1326,2725
1059,client-wisdom,69,2719
1060,client-shaniko,69,2220
1060,client-baker,69,2730
1060,client-prescott,69,2210
1060,client-twinfalls,1326,2708
1060,client-greatfalls,69,2716
1060,client-pocatello,1326,2728
1060,client-bozeman,69,3229
1060,client-everett,69,2196
1060,client-medford,1326,2211
1060,client-spokane,69,2220
1060,client-kimberly,69,2718
1060,client-yakima,69,2199
1060,client-centralia,69,2206
1060,client-cascade,69,2735
1060,client-salmon,69,2726
1060,client-burns,69,2730
1060,client-bend,69,2720
1060,client-kalispell,69,2204
1060,client-charlo,69,2215
1060,client-pullman,69,2206
1060,client-seneca,69,2730
1060,client-brownsville,69,2744
1060,client-yachats,69,2715
1060,client-tillamook,69,2724
1060,client-maupin,69,2214
1060,client-boardman,69,2198
1060,client-kennewick,69,2198
1060,client-aberdeen,69,2196
1060,client-pollock,69,2722
1060,client-packwood,69,2227
1060,client-clarkia,69,2205
1060,client-malden,69,2212
1060,client-ritzville,69,2191
1060,client-odessa,69,2213
1060,client-quincy,69,2237
1060,client-roslyn,69,2214
1060,client-snoqualmie,69,2218
1060,client-baringoo,69,2201
1060,client-kalaloch,69,2192
1060,client-corvallis,69,2728
1060,client-molalla,69,2732
